City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,mataura,NZ,-46.1927,168.8643,58.48,53,67,7.92,broken clouds
1,punta arenas,CL,-53.15,-70.9167,53.71,58,0,23.02,clear sky
2,cabo san lucas,MX,22.8909,-109.9124,74.52,66,0,1.99,clear sky
3,clyde river,CA,70.4692,-68.5914,-0.17,78,97,16.11,overcast clouds
4,almaznyy,RU,48.0448,40.045,30.34,98,100,7.14,snow
5,hermanus,ZA,-34.4187,19.2345,72.9,86,100,11.81,overcast clouds
6,faanui,PF,-16.4833,-151.75,81.61,69,90,10.89,overcast clouds
7,khandyga,RU,62.6667,135.6,-53.91,99,74,0.36,broken clouds
8,hobart,AU,-42.8794,147.3294,61.05,66,40,3.0,light rain
9,severo-kurilsk,RU,50.6789,156.125,31.23,96,100,32.93,snow
10,avarua,CK,-21.2078,-159.775,75.25,94,20,2.3,few clouds
11,georgetown,MY,5.4112,100.3354,89.53,73,20,1.01,few clouds
12,vanimo,PG,-2.6741,141.3028,82.56,82,100,7.56,light rain
13,ahipara,NZ,-35.1667,173.1667,70.05,79,94,3.13,overcast clouds
14,qaanaaq,GL,77.484,-69.3632,4.42,96,99,9.44,light snow
15,saldanha,ZA,-33.0117,17.9442,64.45,74,0,12.21,clear sky
16,olga,RU,43.7444,135.2892,3.2,49,61,12.35,broken clouds
17,barrow,US,71.2906,-156.7887,-3.98,71,90,12.66,light snow
18,guarumal,PA,8.35,-82.5333,79.93,84,100,4.83,overcast clouds
19,lebu,CL,-37.6167,-73.65,56.12,92,4,18.01,clear sky
20,victoria,HK,22.2855,114.1577,61.25,73,100,3.0,overcast clouds
21,coro,VE,11.4045,-69.6734,75.96,90,93,8.48,overcast clouds
22,atuona,PF,-9.8,-139.0333,78.51,74,59,16.33,broken clouds
23,ilulissat,GL,69.2167,-51.1,15.03,70,82,8.68,broken clouds
24,sechura,PE,-5.5569,-80.8222,67.23,86,38,10.33,scattered clouds
25,ambilobe,MG,-13.2,49.05,94.75,34,100,4.09,overcast clouds
26,sao filipe,CV,14.8961,-24.4956,76.89,62,0,8.01,clear sky
27,tara,RU,56.8944,74.371,-6.88,89,5,1.34,clear sky
28,kabalo,CD,-6.05,26.9167,70.63,87,100,3.11,overcast clouds
29,mar del plata,AR,-38.0023,-57.5575,59.88,89,0,4.0,clear sky
30,tawang,IN,27.5833,91.8667,40.33,42,89,7.25,overcast clouds
31,sao gabriel da cachoeira,BR,-0.1303,-67.0892,72.0,99,42,0.98,scattered clouds
32,nikolskoye,RU,59.7035,30.7861,-0.22,93,99,7.61,overcast clouds
33,cape town,ZA,-33.9258,18.4232,74.88,73,0,5.01,clear sky
34,bluff,NZ,-46.6,168.3333,57.79,88,91,16.37,light rain
35,san quintin,MX,30.4833,-115.95,57.18,75,96,5.79,overcast clouds
36,tasiilaq,GL,65.6145,-37.6368,19.56,58,0,8.79,clear sky
37,abu dhabi,AE,24.4667,54.3667,77.11,57,20,11.5,few clouds
38,marihatag,PH,8.7936,126.2969,82.49,73,100,8.81,overcast clouds
39,bredasdorp,ZA,-34.5322,20.0403,69.28,94,100,9.22,light rain
40,krasnoselkup,RU,65.7,82.4667,-11.96,98,69,9.62,broken clouds
41,kaitangata,NZ,-46.2817,169.8464,64.92,69,94,6.67,overcast clouds
42,new norfolk,AU,-42.7826,147.0587,60.71,53,90,3.0,overcast clouds
43,belaya gora,RU,68.5333,146.4167,-32.46,98,99,7.0,overcast clouds
44,piranhas,BR,-16.4269,-51.8222,68.38,80,3,4.79,clear sky
45,arraial do cabo,BR,-22.9661,-42.0278,71.19,76,8,9.22,clear sky
46,basoko,CD,1.2391,23.616,74.07,89,100,5.97,overcast clouds
47,hilo,US,19.7297,-155.09,67.8,1,18,6.29,few clouds
48,ushuaia,AR,-54.8,-68.3,48.22,83,100,10.13,light rain
49,charters towers,AU,-20.1,146.2667,84.22,52,100,16.4,light rain
50,lamar,US,33.6668,-95.5836,64.06,93,68,5.75,broken clouds
51,bathsheba,BB,13.2167,-59.5167,76.69,66,14,13.02,few clouds
52,rikitea,PF,-23.1203,-134.9692,72.72,87,100,16.11,moderate rain
53,bengkulu,ID,-3.8004,102.2655,84.02,71,99,9.01,overcast clouds
54,gretna,US,29.9147,-90.054,69.01,80,91,5.48,overcast clouds
55,ugoofaaru,MV,5.6667,73.0,81.9,66,97,8.86,overcast clouds
56,mitsamiouli,KM,-11.3847,43.2844,84.33,66,33,5.99,scattered clouds
57,winnemucca,US,40.973,-117.7357,29.1,93,90,16.11,snow
58,bermejo,AR,-32.8833,-68.8,76.75,28,96,7.54,overcast clouds
59,chuy,UY,-33.6971,-53.4616,62.78,91,6,7.72,clear sky
60,gold coast,AU,-28.0,153.4333,80.17,82,100,1.99,overcast clouds
61,semporna,MY,4.4818,118.6112,85.28,69,79,7.83,light rain
62,saskylakh,RU,71.9167,114.0833,-28.7,100,53,2.21,broken clouds
63,bambous virieux,MU,-20.3428,57.7575,83.21,64,33,5.37,scattered clouds
64,cayenne,GF,4.9333,-52.3333,75.24,92,75,1.01,light rain
65,meulaboh,ID,4.1363,96.1285,84.42,64,46,6.38,scattered clouds
66,busselton,AU,-33.65,115.3333,97.39,25,5,8.97,clear sky
67,lapeer,US,43.0514,-83.3188,32.29,100,40,0.0,scattered clouds
68,wakkanai,JP,45.4094,141.6739,17.58,86,90,33.38,shower snow
69,grindavik,IS,63.8424,-22.4338,34.27,75,75,19.57,broken clouds
70,saint-philippe,RE,-21.3585,55.7679,86.22,82,100,2.24,light rain
71,port elizabeth,ZA,-33.918,25.5701,77.09,78,20,3.44,few clouds
72,geraldton,AU,-28.7667,114.6,90.01,51,7,16.11,clear sky
73,aklavik,CA,68.2191,-135.0107,-22.36,90,98,14.58,overcast clouds
74,san carlos de bariloche,AR,-41.1456,-71.3082,47.95,53,40,5.75,scattered clouds
75,vaini,TO,-21.2,-175.2,80.73,72,100,7.76,light rain
76,latung,PH,5.5,120.8833,82.76,70,100,2.42,overcast clouds
77,champerico,GT,14.3,-91.9167,77.04,80,0,9.15,clear sky
78,makakilo city,US,21.3469,-158.0858,71.56,69,100,14.54,overcast clouds
79,butaritari,KI,3.0707,172.7902,82.6,75,10,11.03,clear sky
80,balkanabat,TM,39.5108,54.3671,41.83,55,4,11.43,clear sky
81,albany,US,42.6001,-73.9662,39.81,92,100,15.01,overcast clouds
82,faya,SA,18.3851,42.4509,61.2,41,4,7.34,clear sky
83,isiro,CD,2.7739,27.616,76.46,70,98,2.28,overcast clouds
84,castro,BR,-24.7911,-50.0119,56.59,67,11,2.19,few clouds
85,east london,ZA,-33.0153,27.9116,79.74,65,0,8.05,clear sky
86,kruisfontein,ZA,-34.0033,24.7314,74.88,58,87,6.06,overcast clouds
87,kahramanmaras,TR,38.0,37.0,23.63,76,4,1.77,clear sky
88,kasongo-lunda,CD,-6.4667,16.8167,73.98,93,89,0.98,light rain
89,pouembout,NC,-21.1333,164.9,82.44,73,92,3.87,overcast clouds
90,puerto escondido,MX,15.85,-97.0667,75.45,85,1,3.09,clear sky
91,fort nelson,CA,58.8053,-122.7002,-32.51,100,100,1.19,overcast clouds
92,poltavka,RU,54.3663,71.7632,-7.91,90,16,3.78,few clouds
93,carnarvon,AU,-24.8667,113.6333,79.88,71,21,18.72,few clouds
94,chokurdakh,RU,70.6333,147.9167,-16.13,97,100,9.71,overcast clouds
95,ribeira grande,PT,38.5167,-28.7,61.63,81,20,34.83,few clouds
96,oktyabrskoye,RU,43.0645,44.7417,24.94,86,100,2.24,overcast clouds
97,coihaique,CL,-45.5752,-72.0662,54.21,76,7,2.3,clear sky
98,kaya,BF,13.0917,-1.0844,71.62,12,100,8.05,overcast clouds
99,creel,MX,27.75,-107.6333,42.3,60,100,1.07,overcast clouds
100,sept-iles,CA,50.2001,-66.3821,15.06,81,19,7.78,few clouds
101,bubaque,GW,11.2833,-15.8333,79.02,59,79,10.13,broken clouds
102,dudinka,RU,69.4058,86.1778,-2.52,93,100,16.67,overcast clouds
103,port alfred,ZA,-33.5906,26.891,78.1,67,7,14.29,clear sky
104,plettenberg bay,ZA,-34.0527,23.3716,69.53,86,96,3.71,overcast clouds
105,broken hill,AU,-31.95,141.4333,85.03,12,3,20.27,clear sky
106,jamestown,US,42.097,-79.2353,38.01,94,100,7.0,overcast clouds
107,esperance,AU,-33.8667,121.9,72.12,59,0,25.26,clear sky
108,santa cruz,BO,-17.8,-63.1667,71.24,76,100,2.68,overcast clouds
109,giyani,ZA,-23.3025,30.7187,77.5,67,100,5.82,overcast clouds
110,norsup,VU,-16.0667,167.3833,82.92,76,46,2.64,scattered clouds
111,wuwei,CN,37.9281,102.6414,16.79,57,16,5.03,few clouds
112,cidreira,BR,-30.1811,-50.2056,70.5,87,25,11.56,scattered clouds
113,zhangjiakou,CN,40.81,114.8794,17.74,27,0,7.99,clear sky
114,guerrero negro,MX,27.9769,-114.0611,59.5,75,99,12.15,overcast clouds
115,pacific grove,US,36.6177,-121.9166,48.42,81,71,11.01,broken clouds
116,wamba,NG,8.9333,8.6,77.18,24,99,0.72,overcast clouds
117,wagar,SD,16.1525,36.2032,75.42,62,5,8.9,clear sky
118,nioro,GM,13.35,-15.75,73.38,18,71,6.69,broken clouds
119,concepcion del uruguay,AR,-32.4825,-58.2372,65.98,84,100,1.01,overcast clouds
120,tupiza,BO,-21.45,-65.7167,51.55,87,100,1.19,overcast clouds
121,hovd,MN,48.0056,91.6419,3.56,76,3,2.75,clear sky
122,talnakh,RU,69.4865,88.3972,-1.19,96,100,8.79,overcast clouds
123,sawtell,AU,-30.3833,153.1,78.82,73,100,5.75,overcast clouds
124,norman wells,CA,65.282,-126.8329,-30.96,68,20,6.91,few clouds
125,nalut,LY,30.3333,10.85,50.56,37,100,9.37,overcast clouds
126,hobyo,SO,5.3505,48.5268,82.02,67,94,17.45,overcast clouds
127,palana,RU,59.1167,159.9667,-8.16,96,30,9.73,scattered clouds
128,touros,BR,-5.1989,-35.4608,79.7,86,100,5.84,overcast clouds
129,coahuayana,MX,18.7333,-103.6833,71.26,94,30,2.95,scattered clouds
130,kosovska mitrovica,XK,42.8833,20.8667,43.14,95,100,1.3,overcast clouds
131,puerto ayora,EC,-0.7393,-90.3518,69.49,93,71,6.46,broken clouds
132,dongsheng,CN,39.8161,109.9776,11.93,19,0,11.1,clear sky
133,taoudenni,ML,22.6783,-3.9836,64.18,30,4,5.41,clear sky
134,komsomolskiy,UZ,40.4272,71.7189,41.72,75,100,6.91,mist
135,dawei,MM,14.0833,98.2,82.72,64,100,6.17,overcast clouds
136,muros,ES,42.7762,-9.0603,55.99,94,100,10.54,overcast clouds
137,hirara,JP,24.8,125.2833,63.1,73,100,29.66,overcast clouds
138,ponta do sol,PT,32.6667,-17.1,66.7,87,85,6.64,overcast clouds
139,pevek,RU,69.7008,170.3133,-15.56,95,100,5.53,overcast clouds
140,kapaa,US,22.0752,-159.319,71.11,80,85,1.01,light rain
141,puerto penasco,MX,31.3167,-113.5333,63.91,76,100,8.01,overcast clouds
142,presidencia roque saenz pena,AR,-26.7852,-60.4388,72.77,38,13,4.34,few clouds
143,college,US,64.8569,-147.8028,13.59,87,90,0.0,snow
144,lompoc,US,34.6391,-120.4579,52.12,90,90,11.5,mist
145,maragogi,BR,-9.0122,-35.2225,76.59,88,100,7.11,overcast clouds
146,buin,CL,-33.7333,-70.75,74.73,48,100,1.01,overcast clouds
147,kodiak,US,57.79,-152.4072,40.21,91,100,5.5,overcast clouds
148,khatanga,RU,71.9667,102.5,-20.0,97,100,3.89,overcast clouds
149,koumac,NC,-20.5667,164.2833,82.15,71,93,4.63,overcast clouds
150,kavaratti,IN,10.5669,72.642,81.48,66,47,9.01,scattered clouds
151,togur,RU,58.3631,82.8265,1.96,88,20,4.61,few clouds
152,pisco,PE,-13.7,-76.2167,68.02,92,100,1.41,overcast clouds
153,buraydah,SA,26.326,43.975,49.71,61,100,14.65,overcast clouds
154,saint anthony,US,45.0205,-93.218,19.26,79,90,1.01,overcast clouds
155,atagay,RU,55.1033,99.3875,5.76,82,100,0.49,overcast clouds
156,sola,VU,-13.8833,167.55,82.08,72,23,2.73,few clouds
157,taksimo,RU,56.3444,114.8794,2.17,97,100,1.79,overcast clouds
158,hami,CN,42.8,93.45,27.01,19,8,8.14,clear sky
159,rajapalaiyam,IN,9.45,77.5667,83.44,43,2,7.05,clear sky
160,thompson,CA,55.7435,-97.8558,-24.25,97,37,5.77,scattered clouds
161,kaeo,NZ,-35.1,173.7833,74.32,80,40,4.43,scattered clouds
162,aleksandrov gay,RU,50.147,48.5704,32.11,100,100,10.07,snow
163,puchezh,RU,56.9788,43.1676,6.3,92,76,15.99,broken clouds
164,obera,AR,-27.4871,-55.1199,65.05,45,5,2.35,clear sky
165,longyearbyen,SJ,78.2186,15.6401,24.64,68,0,25.32,clear sky
166,luganville,VU,-15.5333,167.1667,81.73,82,81,2.64,broken clouds
167,luoyang,CN,34.6836,112.4536,34.97,20,7,5.79,clear sky
168,la ronge,CA,55.1001,-105.2842,-29.78,100,49,4.03,scattered clouds
169,yangambi,CD,0.8102,24.4336,70.56,97,100,1.16,light rain
170,mareeba,AU,-17.0,145.4333,81.32,83,100,5.01,overcast clouds
171,vardo,NO,70.3705,31.1107,28.42,70,100,24.34,light snow
172,sangar,RU,63.9242,127.4739,-54.24,99,69,0.54,broken clouds
173,awbari,LY,26.5921,12.7805,50.99,42,29,9.51,scattered clouds
174,malakal,SS,9.5334,31.6605,81.99,21,9,10.71,clear sky
175,te anau,NZ,-45.4167,167.7167,56.86,96,96,4.72,light rain
176,tazovskiy,RU,67.4667,78.7,-15.45,97,36,10.69,scattered clouds
177,waddan,LY,29.1614,16.139,54.45,41,0,5.86,clear sky
178,chingirlau,KZ,51.095,54.0814,20.3,69,100,28.05,overcast clouds
179,kandrian,PG,-6.2167,149.55,81.59,83,100,3.11,moderate rain
180,popondetta,PG,-8.7537,148.2534,80.33,91,100,2.37,overcast clouds
181,oranjemund,NA,-28.55,16.4333,68.04,60,0,8.19,clear sky
182,glubczyce,PL,50.2009,17.8286,18.86,82,9,2.08,clear sky
183,christchurch,NZ,-43.5333,172.6333,79.0,53,0,1.99,clear sky
184,marsa matruh,EG,31.3525,27.2453,57.85,62,10,7.25,clear sky
185,hofn,IS,64.2539,-15.2082,31.53,82,100,16.51,overcast clouds
186,progreso,MX,21.2833,-89.6667,68.11,82,0,11.25,clear sky
187,palmer,US,42.1584,-72.3287,37.42,84,90,3.44,moderate rain
188,fairbanks,US,64.8378,-147.7164,13.6,87,90,0.0,snow
189,trairi,BR,-3.2778,-39.2689,78.66,83,100,4.16,overcast clouds
190,tanout,NE,14.9709,8.8879,64.04,18,100,13.09,overcast clouds
191,kichera,RU,55.9375,110.0997,6.28,80,32,1.63,scattered clouds
192,sinazongwe,ZM,-17.2614,27.4618,74.62,87,100,4.36,light rain
193,mumford,GH,5.2618,-0.759,79.59,82,61,5.01,broken clouds
194,mahebourg,MU,-20.4081,57.7,83.25,66,31,2.84,scattered clouds
195,walvis bay,NA,-22.9575,14.5053,62.1,88,0,5.75,clear sky
196,barra velha,BR,-26.6322,-48.6847,69.6,86,75,2.89,broken clouds
197,olinda,BR,-8.0089,-34.8553,76.73,94,40,3.44,light rain
198,saint-augustin,CA,51.226,-58.6502,36.0,79,100,18.66,overcast clouds
199,freeport,US,40.6576,-73.5832,54.01,75,100,7.0,overcast clouds
200,kajaani,FI,64.2273,27.7285,3.25,85,75,6.91,broken clouds
201,san matias,BO,-16.3667,-58.4,73.18,92,78,2.26,broken clouds
202,hithadhoo,MV,-0.6,73.0833,82.0,71,89,13.18,overcast clouds
203,beni suef,EG,29.0731,31.0979,54.54,58,0,11.95,clear sky
204,narsaq,GL,60.9167,-46.05,34.21,47,100,23.26,overcast clouds
205,khani,GE,41.9563,42.9566,31.57,88,100,6.76,overcast clouds
206,marawi,PH,7.9986,124.2928,75.65,81,100,5.68,overcast clouds
207,prata,BR,-19.3072,-48.9242,67.68,65,49,2.13,scattered clouds
208,siverek,TR,37.755,39.3167,32.61,38,0,3.36,clear sky
209,tornio,FI,65.8481,24.1466,-0.38,93,36,9.28,scattered clouds
210,pochutla,MX,15.7432,-96.4661,69.82,86,0,3.44,clear sky
211,marsabit,KE,2.3284,37.9899,68.2,77,87,16.04,light rain
212,codrington,AU,-38.2667,141.9667,60.31,57,40,17.87,scattered clouds
213,athens,GR,37.9795,23.7162,58.39,83,95,3.0,overcast clouds
214,anadyr,RU,64.75,177.4833,-5.01,83,100,15.01,overcast clouds
215,bonavista,CA,48.6499,-53.1147,30.11,75,79,19.62,broken clouds
216,rawson,AR,-43.3002,-65.1023,63.16,68,0,6.13,clear sky
217,brownwood,US,31.7093,-98.9912,64.54,87,1,8.59,clear sky
218,meadow lake,US,34.8014,-106.5436,54.32,45,100,17.52,overcast clouds
219,cherskiy,RU,68.75,161.3,-23.24,98,100,5.84,overcast clouds
220,san patricio,US,28.017,-97.5169,71.89,92,47,9.95,scattered clouds
221,tarko-sale,RU,64.9225,77.785,-12.95,96,41,11.61,scattered clouds
222,labrea,BR,-7.2586,-64.7981,76.68,93,99,2.28,overcast clouds
223,labuhan,ID,-6.8844,112.2051,89.1,61,28,8.88,scattered clouds
224,shimoda,JP,34.6667,138.95,40.1,44,30,27.56,scattered clouds
225,yellowknife,CA,62.456,-114.3525,-3.59,96,100,10.89,overcast clouds
226,puerto madryn,AR,-42.7692,-65.0385,65.21,62,0,6.13,clear sky
227,tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,1,17.27,clear sky
228,naze,JP,28.3667,129.4833,52.47,71,89,21.14,overcast clouds
229,salalah,OM,17.0151,54.0924,77.18,54,0,4.88,clear sky
230,lloydminster,CA,53.2835,-110.0016,-23.24,99,100,3.11,overcast clouds
231,adrar,MR,20.5022,-10.0711,60.22,29,0,7.65,clear sky
232,konya,TR,38.1667,32.5,27.79,84,13,3.85,few clouds
233,dumas,US,35.8656,-101.9732,50.04,52,1,5.75,clear sky
234,russell,US,32.3502,-85.1999,64.11,93,90,0.0,mist
235,cartagena,CO,10.3997,-75.5144,80.22,83,0,5.75,clear sky
236,ciudad bolivar,VE,8.1222,-63.5497,72.84,86,36,8.77,scattered clouds
237,neyshabur,IR,36.2133,58.7958,37.62,57,6,3.4,clear sky
238,petatlan,MX,17.5167,-101.2667,71.71,84,0,3.85,clear sky
