City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,tucurui,BR,72.32,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
335,karratha,AU,94.1,light rain,-20.7377,116.8463,ibis Styles Karratha
336,lumphat,KH,86.43,overcast clouds,13.4878,106.9816,Lumphat Homestay
338,baculin,PH,82.49,light rain,7.4525,126.5842,Baculin Cove Beach Resort
339,bani,DO,75.85,clear sky,18.2833,-70.3333,Hospedaje Henriquez
340,kiama,AU,67.37,moderate rain,-34.6833,150.8667,The Sebel Kiama Harbourside
341,batemans bay,AU,65.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
343,byron bay,AU,78.71,overcast clouds,-28.65,153.6167,Backpackers Inn
345,jacareacanga,BR,72.63,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
347,moroto,UG,77.11,few clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
348,iringa,TZ,76.69,broken clouds,-7.7667,35.7,M.R. Hotels ltd.
351,puerto baquerizo moreno,EC,69.91,broken clouds,-0.9,-89.6,Hotel los Algarrobos
352,saint-pierre,RE,86.29,light rain,-21.3393,55.4781,Lindsey Hôtel
353,vega de alatorre,MX,70.41,clear sky,20.0333,-96.6333,El Polo Norte
356,amboasary,MG,78.73,overcast clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
357,namibe,AO,72.37,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
361,maputo,MZ,78.48,broken clouds,-25.9653,32.5892,Pestana Rovuma
366,antofagasta,CL,66.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
368,yaan,NG,76.73,overcast clouds,7.3833,8.5667,
369,brasilia de minas,BR,62.02,few clouds,-16.2064,-44.4333,Hotel Neris
379,bilma,NE,64.27,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
380,tumbagaan,PH,82.8,overcast clouds,5.3656,120.3139,
385,tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
388,caravelas,BR,70.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
392,rio de janeiro,BR,69.8,clear sky,-22.9028,-43.2075,Hotel Málaga
393,caucaia,BR,82.04,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
394,belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
396,bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
398,barreirinhas,BR,74.98,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
399,ponta delgada,PT,66.92,broken clouds,37.7333,-25.6667,Vila Nova Hotel
400,porteirinha,BR,66.94,overcast clouds,-15.7433,-43.0283,Portal Palace Hotel
402,ratangarh,IN,65.46,overcast clouds,28.0833,74.6,Hotel Shri Laxmi Palace
403,mount gambier,AU,61.84,clear sky,-37.8333,140.7667,The Commodore
406,nhulunbuy,AU,77.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
407,teknaf,BD,76.1,clear sky,20.8624,92.3058,Forestry Guesthouse
408,akyab,MM,75.97,clear sky,20.15,92.9,Hotel Memory
410,alice springs,AU,98.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
415,anau,PF,81.48,overcast clouds,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
417,casino,AU,78.57,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
418,vila velha,BR,65.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
420,kondagaon,IN,80.83,clear sky,19.6,81.6667,AYAN MOTER
422,tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
425,cururupu,BR,74.62,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
432,fare,PF,80.74,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
433,lorengau,PG,83.46,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
438,dingle,PH,81.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
441,vao,NC,77.27,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
442,arona,ES,60.8,few clouds,28.0996,-16.681,Paradise Court
443,san cristobal,VE,65.86,broken clouds,7.7669,-72.225,Posada Villaven C.A.
444,acajutla,SV,75.81,clear sky,13.5928,-89.8275,asi es
447,maldonado,UY,61.23,clear sky,-34.6667,-54.9167,La Cimarrona
450,kavieng,PG,83.34,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
451,cacoal,BR,73.33,overcast clouds,-11.4386,-61.4472,Hotel BR 364
452,burnie,AU,67.91,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
454,dao,PH,80.08,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
457,praia,CV,73.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
458,korhogo,CI,69.12,broken clouds,9.45,-5.6333,Hôtel Tchinbota
462,mecca,SA,74.53,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
465,sri aman,MY,82.08,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
466,okato,NZ,64.69,clear sky,-39.2,173.8833,Goodin Country Garden
467,san pedro,PH,83.35,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
468,hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
469,colombia,CU,68.81,clear sky,20.9881,-77.4297,Casa Lazara y Pupi
470,dubti,ET,79.77,clear sky,11.7361,41.0853,degu Shiferaw
472,ngunguru,NZ,74.16,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
473,atar,MR,63.57,clear sky,20.5169,-13.0499,Oumou Elghoura
475,nabire,ID,86.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
478,porto novo,BJ,79.47,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
479,micheweni,TZ,81.84,moderate rain,-4.9667,39.8333,
487,kyaikto,MM,84.34,clear sky,17.3,97.0167,နီလာ တည်းခိုခန်း
488,porto nacional,BR,72.09,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
491,conakry,GN,69.37,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
492,manmad,IN,78.49,clear sky,20.25,74.45,Hotel Shree Leela Int. Manmad
496,asilah,MA,60.76,overcast clouds,35.465,-6.0348,Hotel Zelis
498,kouroussa,GN,67.59,scattered clouds,10.65,-9.8833,Hotel Paillote
499,kutum,SD,63.07,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
502,lagoa,PT,60.58,clear sky,39.05,-27.9833,Casa Das Faias
504,comodoro rivadavia,AR,63.7,clear sky,-45.8667,-67.5,Austral Hotel
506,pimentel,PE,66.29,broken clouds,-6.8367,-79.9342,Casona Del Muelle
508,juazeiro,BR,70.59,moderate rain,-9.4117,-40.4986,JB Hotel
510,thaba nchu,ZA,69.24,overcast clouds,-29.2093,26.839,Real Time Guest House
511,caconda,AO,69.12,overcast clouds,-13.7333,15.0667,
517,rocafuerte,EC,74.39,overcast clouds,-0.9167,-80.4333,"Complejo turístico deportivo ""Mis Brads"""
518,tabuk,PH,69.87,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
519,tonj,SS,85.19,broken clouds,7.2737,28.6822,Lakan Hotel
520,cambuci,BR,62.56,clear sky,-21.5753,-41.9111,Pousada Beija Flor Hotel
521,honiara,SB,81.82,light rain,-9.4333,159.95,Heritage Park Hotel
523,chala,TZ,69.89,overcast clouds,-7.5833,31.2667,
524,kokopo,PG,80.58,moderate rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
525,nouadhibou,MR,66.81,clear sky,20.931,-17.0347,El Medina
526,pamanukan,ID,87.26,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
528,lundazi,ZM,84.33,overcast clouds,-12.2929,33.1782,Knox Lodge
529,constitucion,CL,60.98,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
531,seddon,AU,67.37,broken clouds,-37.8068,144.8916,Footscray Motor Inn
533,yulara,AU,98.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
534,waipawa,NZ,64.45,clear sky,-41.4122,175.5153,Tora Coastal Walk
536,ewa beach,US,72.43,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
537,yeppoon,AU,73.18,moderate rain,-23.1333,150.7333,Villa Mar Colina
538,mana,GF,75.29,broken clouds,5.6592,-53.7767,LE SAMANA
540,skeldon,GY,73.17,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
543,alta floresta,BR,70.52,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
545,majene,ID,86.47,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
547,santa cruz de la palma,ES,62.74,clear sky,28.6835,-17.7642,H10 Taburiente Playa
549,kloulklubed,PW,82.71,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
550,djambala,CG,73.83,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
553,chingola,ZM,72.52,overcast clouds,-12.529,27.8838,Protea Hotel by Marriott Chingola
557,tuntum,BR,72.32,overcast clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
558,merauke,ID,85.64,light rain,-8.4667,140.3333,
561,poum,NC,82.33,broken clouds,-20.2333,164.0167,Gîte kajeon
565,george,ZA,67.55,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
566,manado,ID,75.97,broken clouds,1.487,124.8455,Aryaduta Hotel
568,nizwa,OM,78.4,overcast clouds,22.9333,57.5333,Orient Apartments
569,general roca,AR,79.03,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
570,isla mujeres,MX,75.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
571,marapanim,BR,75.49,overcast clouds,-0.7175,-47.6997,Ecomangue Pousada
572,edd,ER,84.33,clear sky,13.9297,41.6925,
574,eirunepe,BR,76.62,moderate rain,-6.6603,-69.8736,Atrás de você
575,koungou,YT,89.31,scattered clouds,-12.7336,45.2042,Villa Netibor
576,san policarpo,PH,80.8,broken clouds,12.1791,125.5072,Agapita M. Nicart
577,were ilu,ET,61.99,clear sky,10.6,39.4333,
580,flexeiras,BR,76.77,overcast clouds,-9.1975,-35.7808,
581,phan thiet,VN,84.24,clear sky,10.9333,108.1,Hotel Saigon-PT
584,tura,IN,72.88,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
587,ahero,KE,73.38,broken clouds,-0.1746,34.9163,Jesmic Hotel
591,floresta,BR,72.01,overcast clouds,-8.6011,-38.5686,Hotel Floresta
598,rodrigues alves,BR,72.82,scattered clouds,-7.738,-72.6509,Pousada Aconchego
599,flinders,AU,69.21,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
601,pascagoula,US,66.25,clear sky,30.3658,-88.5561,Regency Inn
604,george town,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
608,airai,TL,63.48,light rain,-8.9266,125.4092,Juvinal Martin
609,kakamega,KE,68.52,overcast clouds,0.2842,34.7523,Amazon Bed & Breakfast
610,lagunas,PE,74.19,broken clouds,-5.2269,-75.6753,Hospedaje Eco
613,mugumu,TZ,70.52,overcast clouds,-1.85,34.7,Lemala Mara
617,vangaindrano,MG,78.73,light rain,-23.35,47.6,Hotel Fanilo
620,port hedland,AU,96.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
625,mayumba,GA,76.55,light rain,-3.432,10.6554,LIKWALE LODGE
626,lufilufi,WS,82.58,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
627,tamasane,BW,66.79,light rain,-22.4184,27.4013,
630,gwanda,ZW,70.93,light rain,-20.9333,29.0,Mafax Homeways
631,sal rei,CV,70.36,clear sky,16.1833,-22.9167,Marine Club Beach Resort
636,nova olimpia,BR,71.96,few clouds,-14.7972,-57.2881,Motel glamour
637,chokwe,MZ,82.87,broken clouds,-24.5333,32.9833,Complexo Sonho Real
642,doka,SD,79.74,clear sky,13.5167,35.7667,
643,samarai,PG,83.25,overcast clouds,-10.6167,150.6667,Nuli Sapi
649,dzitbalche,MX,62.53,clear sky,20.3167,-90.05,Lavadero San Mateo
652,teguise,ES,61.02,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
659,hualmay,PE,66.99,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
662,bonfim,BR,76.37,clear sky,3.0833,-59.95,
664,kismayo,SO,84.56,broken clouds,-0.3582,42.5454,Agan-Hotel
665,dullewala,PK,69.1,few clouds,31.8359,71.4362,Sajid fruit shop
667,morristown,US,63.37,broken clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
669,santa cruz del sur,CU,70.57,clear sky,20.7147,-77.9956,
670,chor,PK,79.3,overcast clouds,25.5167,69.7667,Asad U Bajeer Hotel
671,curillo,CO,70.7,overcast clouds,1.0333,-75.9191,CASA CLUB
672,barreirinha,BR,74.28,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
673,buta,CD,73.56,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
674,voh,NC,82.53,broken clouds,-20.9667,164.7,Le gîte du Koniambo
676,santa fe,AR,68.32,light rain,-31.6333,-60.7,Conquistador Hotel
679,arlit,NE,66.67,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
681,zhuhai,CN,60.98,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
682,vaitape,PF,81.57,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
684,acarau,BR,78.8,overcast clouds,-2.8856,-40.12,castelo pizzaria
685,san andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
686,gilbues,BR,68.38,light rain,-9.8317,-45.3439,Hotel Camapuã
687,port-gentil,GA,80.28,light rain,-0.7193,8.7815,Fengshui Residence
689,mattru,SL,72.5,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
690,chipata,ZM,82.02,overcast clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
692,sur,OM,79.52,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
693,zambezi,ZM,74.32,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
694,miri,MY,83.8,light rain,4.4148,114.0089,"Mega Hotel, Miri"
696,iberia,US,70.05,overcast clouds,29.9502,-91.7507,back to back rv park
698,robertsport,LR,79.27,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
699,pareora,NZ,72.18,clear sky,-44.4871,171.2132,
701,praya,CV,73.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
705,keti bandar,PK,76.93,overcast clouds,24.1447,67.4497,Haji laloo memon house
706,amahai,ID,88.02,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
709,moultrie,US,60.39,clear sky,31.1799,-83.7891,Moultrie Inn
712,avera,US,65.71,overcast clouds,33.194,-82.5271,
713,wattegama,LK,85.12,clear sky,6.7989,81.4808,
715,mankono,CI,70.3,clear sky,8.0586,-6.1897,Hôtel cotonputeur
717,inverell,AU,88.66,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
720,luba,GQ,81.32,overcast clouds,3.4568,8.5547,
722,sekoma,BW,79.34,broken clouds,-24.4,23.8833,
